model,layer,probe_only_auroc,length_word_auroc,joint_auroc,probe_coef,probe_pvalue,length_coef,length_pvalue
llama,19,0.9847375,0.973346875,0.9839062500000001,3.7624534044231948,1.9984014443252818e-15,1.4841067691826875,0.014474064549600874
llama,20,0.9830875,0.973346875,0.9820437500000001,3.603419130882867,1.5543122344752192e-15,1.6752855147313888,0.007509798704298021
llama,21,0.9834,0.973346875,0.9824875,3.716827649843216,1.1102230246251565e-15,1.5971740420425258,0.009929121088929627
llama,22,0.98321875,0.973346875,0.9822249999999999,3.661536541287504,3.774758283725532e-15,1.7147482942848953,0.00788330911752011
llama,23,0.9824875,0.973346875,0.9815,3.74956739041592,6.661338147750939e-16,1.4523524663499734,0.02002351861351448
llama,24,0.9803062499999999,0.973346875,0.97959375,3.6877118715614006,3.3306690738754696e-15,1.5383251272613687,0.01639046042983683
llama,25,0.98159375,0.973346875,0.98074375,3.7138118097656623,1.7763568394002505e-15,1.5294059033048497,0.017762770314289522
llama,26,0.9839,0.973346875,0.9832187500000001,4.084204614848432,8.881784197001252e-16,1.2273580579528998,0.04865972491013326
llama,27,0.9859250000000002,0.973346875,0.98515625,4.428348460337145,4.440892098500626e-16,0.9458339686145268,0.12211138141526279
llama,28,0.9828437500000001,0.973346875,0.9816874999999999,3.660337078471889,4.6629367034256575e-15,1.8030531606129094,0.004704153542027356
