model,layer,bin,bin_lo,bin_hi,n,probe_auroc,length_auroc
phi3,32,3,10.0,44.0,193,0.9947916666666666,0.453125
llama,0,0,1.0,2.0,283,0.573992673992674,0.5362637362637362
llama,0,1,2.0,4.0,118,0.812037037037037,0.6657407407407407
llama,0,2,4.0,10.0,206,0.9574468085106383,0.7386229314420805
llama,0,3,10.0,44.0,193,0.8125,0.453125
llama,1,0,1.0,2.0,283,0.4201465201465202,0.5362637362637362
llama,1,1,2.0,4.0,118,0.8342592592592594,0.6657407407407407
llama,1,2,4.0,10.0,206,0.9878841607565012,0.7386229314420805
llama,1,3,10.0,44.0,193,0.6458333333333334,0.453125
llama,2,0,1.0,2.0,283,0.3871794871794872,0.5362637362637362
llama,2,1,2.0,4.0,118,0.8777777777777778,0.6657407407407407
llama,2,2,4.0,10.0,206,0.9896572104018913,0.7386229314420805
llama,2,3,10.0,44.0,193,0.984375,0.453125
llama,3,0,1.0,2.0,283,0.47728937728937726,0.5362637362637362
llama,3,1,2.0,4.0,118,0.8712962962962962,0.6657407407407407
llama,3,2,4.0,10.0,206,0.9884751773049645,0.7386229314420805
llama,3,3,10.0,44.0,193,0.9895833333333334,0.453125
llama,4,0,1.0,2.0,283,0.49743589743589745,0.5362637362637362
llama,4,1,2.0,4.0,118,0.8842592592592594,0.6657407407407407
llama,4,2,4.0,10.0,206,0.9961583924349882,0.7386229314420805
llama,4,3,10.0,44.0,193,0.96875,0.453125
llama,5,0,1.0,2.0,283,0.495970695970696,0.5362637362637362
llama,5,1,2.0,4.0,118,0.8333333333333334,0.6657407407407407
llama,5,2,4.0,10.0,206,0.9973404255319148,0.7386229314420805
llama,5,3,10.0,44.0,193,0.984375,0.453125
llama,6,0,1.0,2.0,283,0.5465201465201466,0.5362637362637362
llama,6,1,2.0,4.0,118,0.7314814814814815,0.6657407407407407
llama,6,2,4.0,10.0,206,0.9932033096926715,0.7386229314420805
llama,6,3,10.0,44.0,193,1.0,0.453125
llama,7,0,1.0,2.0,283,0.4315018315018315,0.5362637362637362
llama,7,1,2.0,4.0,118,0.7564814814814814,0.6657407407407407
llama,7,2,4.0,10.0,206,0.9943853427895981,0.7386229314420805
llama,7,3,10.0,44.0,193,1.0,0.453125
llama,8,0,1.0,2.0,283,0.5278388278388279,0.5362637362637362
llama,8,1,2.0,4.0,118,0.7796296296296296,0.6657407407407407
llama,8,2,4.0,10.0,206,0.9955673758865248,0.7386229314420805
llama,8,3,10.0,44.0,193,1.0,0.453125
llama,9,0,1.0,2.0,283,0.49047619047619045,0.5362637362637362
llama,9,1,2.0,4.0,118,0.7750000000000001,0.6657407407407407
llama,9,2,4.0,10.0,206,0.9970449172576832,0.7386229314420805
llama,9,3,10.0,44.0,193,0.9947916666666666,0.453125
llama,10,0,1.0,2.0,283,0.5956043956043956,0.5362637362637362
llama,10,1,2.0,4.0,118,0.8490740740740741,0.6657407407407407
llama,10,2,4.0,10.0,206,0.9964539007092198,0.7386229314420805
llama,10,3,10.0,44.0,193,0.9947916666666666,0.453125
llama,11,0,1.0,2.0,283,0.7175824175824176,0.5362637362637362
llama,11,1,2.0,4.0,118,0.8851851851851851,0.6657407407407407
llama,11,2,4.0,10.0,206,0.9949763593380614,0.7386229314420805
llama,11,3,10.0,44.0,193,0.9947916666666666,0.453125
llama,12,0,1.0,2.0,283,0.6703296703296704,0.5362637362637362
llama,12,1,2.0,4.0,118,0.899074074074074,0.6657407407407407
llama,12,2,4.0,10.0,206,0.9985224586288416,0.7386229314420805
llama,12,3,10.0,44.0,193,0.96875,0.453125
llama,13,0,1.0,2.0,283,0.6545787545787546,0.5362637362637362
llama,13,1,2.0,4.0,118,0.8759259259259259,0.6657407407407407
llama,13,2,4.0,10.0,206,0.9923167848699763,0.7386229314420805
llama,13,3,10.0,44.0,193,0.96875,0.453125
llama,14,0,1.0,2.0,283,0.6245421245421245,0.5362637362637362
llama,14,1,2.0,4.0,118,0.8981481481481481,0.6657407407407407
llama,14,2,4.0,10.0,206,0.9967494089834515,0.7386229314420805
llama,14,3,10.0,44.0,193,0.9479166666666666,0.453125
llama,15,0,1.0,2.0,283,0.6454212454212455,0.5362637362637362
llama,15,1,2.0,4.0,118,0.8972222222222223,0.6657407407407407
llama,15,2,4.0,10.0,206,0.9955673758865249,0.7386229314420805
llama,15,3,10.0,44.0,193,0.9114583333333334,0.453125
llama,16,0,1.0,2.0,283,0.6194139194139194,0.5362637362637362
llama,16,1,2.0,4.0,118,0.8851851851851852,0.6657407407407407
llama,16,2,4.0,10.0,206,0.9958628841607564,0.7386229314420805
llama,16,3,10.0,44.0,193,0.9479166666666666,0.453125
llama,17,0,1.0,2.0,283,0.6238095238095238,0.5362637362637362
llama,17,1,2.0,4.0,118,0.9194444444444445,0.6657407407407407
